"","ID.true","Word","Label","ConcValCombo","Task","BlockOrder","Response","Accuracy","EventTime","Value","RT","LogRT"
"1","638f6f1ebb540eedd7097e44","degrade","test_val","abstract-negative","Valence","VC","negative",1,1728920983591,"negative",6336,8.75400293349426
"2","638f6f1ebb540eedd7097e44","believe","test_val","abstract-positive","Valence","VC","positive",1,1728920987843,"positive",3047.5,8.02207686135543
"3","638f6f1ebb540eedd7097e44","slap","test_val","concrete-negative","Valence","VC","negative",1,1728920991713,"negative",3127,8.04782935745784
"4","638f6f1ebb540eedd7097e44","vomit","test_val","concrete-negative","Valence","VC","negative",1,1728920997272,"negative",3595.5,8.18743834254255
"5","638f6f1ebb540eedd7097e44","zing","test_val","abstract-positive","Valence","VC","positive",1,1728921000194,"positive",2490.5,7.82023877251334
"6","638f6f1ebb540eedd7097e44","bleed","test_val","concrete-negative","Valence","VC","negative",1,1728921002435,"negative",2406,7.78572089653462
"7","638f6f1ebb540eedd7097e44","cook","test_val","concrete-positive","Valence","VC","positive",1,1728921004428,"positive",5794,8.66457817832929
"8","638f6f1ebb540eedd7097e44","sing","test_val","concrete-positive","Valence","VC","positive",1,1728921006691,"positive",2187,7.69028602067677
"9","638f6f1ebb540eedd7097e44","condemn","test_val","abstract-negative","Valence","VC","negative",1,1728921010409,"negative",2911,7.97625194374562
"10","638f6f1ebb540eedd7097e44","laugh","test_val","concrete-positive","Valence","VC","positive",1,1728921012336,"positive",2336,7.75619534394812
"11","638f6f1ebb540eedd7097e44","inspire","test_val","abstract-positive","Valence","VC","positive",1,1728921015651,"positive",2392.5,7.78009412332711
"12","638f6f1ebb540eedd7097e44","weep","test_val","concrete-negative","Valence","VC","negative",1,1728921020780,"negative",3734.5,8.22536921979712
"13","638f6f1ebb540eedd7097e44","spit","test_val","concrete-negative","Valence","VC","negative",1,1728921023858,"negative",2514,7.82963038915019
"14","638f6f1ebb540eedd7097e44","disown","test_val","abstract-negative","Valence","VC","negative",1,1728921025876,"negative",1805.5,7.49859284071751
"15","638f6f1ebb540eedd7097e44","enlighten","test_val","abstract-positive","Valence","VC","positive",1,1728921027631,"positive",1951,7.57609734062311
"16","638f6f1ebb540eedd7097e44","kiss","test_val","concrete-positive","Valence","VC","positive",1,1728921029591,"positive",1985,7.59337419312129
"17","638f6f1ebb540eedd7097e44","barf","test_val","concrete-negative","Valence","VC","negative",1,1728921031371,"negative",1801.5,7.49637493018815
"18","638f6f1ebb540eedd7097e44","fulfill","test_val","abstract-positive","Valence","VC","positive",1,1728921033177,"positive",1682.5,7.42803606151888
"19","638f6f1ebb540eedd7097e44","profane","test_val","abstract-negative","Valence","VC","negative",1,1728921035677,"negative",2480.5,7.8162154317411
"20","638f6f1ebb540eedd7097e44","smooch","test_val","concrete-positive","Valence","VC","positive",1,1728921037582,"positive",3874.5,8.262171901204
"21","638f6f1ebb540eedd7097e44","excite","test_val","abstract-positive","Valence","VC","positive",1,1728921039620,"positive",1781,7.48493028328966
"22","638f6f1ebb540eedd7097e44","admired","test_val","abstract-positive","Valence","VC","positive",1,1728921041053,"positive",1538.5,7.3385631947621
"23","638f6f1ebb540eedd7097e44","convict","test_val","concrete-negative","Valence","VC","positive",0,1728921042920,"positive",4063.5,8.30979995019326
"24","638f6f1ebb540eedd7097e44","puke","test_val","concrete-negative","Valence","VC","negative",1,1728921047969,"negative",3408.5,8.13402759080284
"25","638f6f1ebb540eedd7097e44","displease","test_val","abstract-negative","Valence","VC","negative",1,1728921050831,"negative",2381,7.77527584648686
"26","638f6f1ebb540eedd7097e44","wish","test_val","abstract-positive","Valence","VC","positive",1,1728921054246,"positive",3114.5,8.0438239046942
"27","638f6f1ebb540eedd7097e44","carjack","test_val","concrete-negative","Valence","VC","negative",1,1728921056200,"negative",2070.5,7.63554540298562
"28","638f6f1ebb540eedd7097e44","sleep","test_val","concrete-positive","Valence","VC","positive",1,1728921058545,"positive",2791,7.93415523353632
"29","638f6f1ebb540eedd7097e44","intimidate","test_val","abstract-negative","Valence","VC","negative",1,1728921060732,"negative",1876.5,7.53716361857508
"30","638f6f1ebb540eedd7097e44","distrust","test_val","abstract-negative","Valence","VC","negative",1,1728921062548,"negative",1679,7.42595365707754
"31","638f6f1ebb540eedd7097e44","swing","test_val","concrete-positive","Valence","VC","positive",1,1728921065629,"positive",2709,7.9043348420851
"32","638f6f1ebb540eedd7097e44","hate","test_val","abstract-negative","Valence","VC","negative",1,1728921067540,"negative",2498,7.82324569068552
"33","638f6f1ebb540eedd7097e44","violate","test_val","abstract-negative","Valence","VC","negative",1,1728921069485,"negative",1858,7.52725591937378
"34","638f6f1ebb540eedd7097e44","piss","test_val","concrete-negative","Valence","VC","positive",0,1728921074164,"positive",3306.5,8.10364550711472
"35","638f6f1ebb540eedd7097e44","bathe","test_val","concrete-positive","Valence","VC","positive",1,1728921075740,"positive",1777,7.48268182815465
"36","638f6f1ebb540eedd7097e44","hope","test_val","abstract-positive","Valence","VC","positive",1,1728921077335,"positive",1894.5,7.54671023045866
"37","638f6f1ebb540eedd7097e44","dance","test_val","concrete-positive","Valence","VC","positive",1,1728921079242,"positive",2620,7.87092959675514
"38","638f6f1ebb540eedd7097e44","imagine","test_val","abstract-positive","Valence","VC","positive",1,1728921081033,"positive",1657,7.41276401742656
"39","638f6f1ebb540eedd7097e44","eat","test_val","concrete-positive","Valence","VC","positive",1,1728921082614,"positive",3226.5,8.07915323737589
"40","638f6f1ebb540eedd7097e44","annoy","test_val","abstract-negative","Valence","VC","negative",1,1728921085180,"negative",2062.5,7.63167411820884
"41","638f6f1ebb540eedd7097e44","piss","test_conc","concrete-negative","Concrete","VC","abstract",0,1728921149147,"abstract",3306.5,8.10364550711472
"42","638f6f1ebb540eedd7097e44","convict","test_conc","concrete-negative","Concrete","VC","concrete",1,1728921155413,"concrete",4063.5,8.30979995019326
"43","638f6f1ebb540eedd7097e44","dance","test_conc","concrete-positive","Concrete","VC","abstract",0,1728921158753,"abstract",2620,7.87092959675514
"44","638f6f1ebb540eedd7097e44","barf","test_conc","concrete-negative","Concrete","VC","abstract",0,1728921160583,"abstract",1801.5,7.49637493018815
"45","638f6f1ebb540eedd7097e44","profane","test_conc","abstract-negative","Concrete","VC","concrete",0,1728921163050,"concrete",2480.5,7.8162154317411
"46","638f6f1ebb540eedd7097e44","enlighten","test_conc","abstract-positive","Concrete","VC","concrete",0,1728921165203,"concrete",1951,7.57609734062311
"47","638f6f1ebb540eedd7097e44","cook","test_conc","concrete-positive","Concrete","VC","concrete",1,1728921174805,"concrete",5794,8.66457817832929
"48","638f6f1ebb540eedd7097e44","bathe","test_conc","concrete-positive","Concrete","VC","concrete",1,1728921176788,"concrete",1777,7.48268182815465
"49","638f6f1ebb540eedd7097e44","displease","test_conc","abstract-negative","Concrete","VC","concrete",0,1728921178694,"concrete",2381,7.77527584648686
"50","638f6f1ebb540eedd7097e44","distrust","test_conc","abstract-negative","Concrete","VC","concrete",0,1728921180241,"concrete",1679,7.42595365707754
"51","638f6f1ebb540eedd7097e44","smooch","test_conc","concrete-positive","Concrete","VC","abstract",0,1728921186091,"abstract",3874.5,8.262171901204
"52","638f6f1ebb540eedd7097e44","fulfill","test_conc","abstract-positive","Concrete","VC","concrete",0,1728921187656,"concrete",1682.5,7.42803606151888
"53","638f6f1ebb540eedd7097e44","condemn","test_conc","abstract-negative","Concrete","VC","concrete",0,1728921189767,"concrete",2911,7.97625194374562
"54","638f6f1ebb540eedd7097e44","believe","test_conc","abstract-positive","Concrete","VC","concrete",0,1728921191617,"concrete",3047.5,8.02207686135543
"55","638f6f1ebb540eedd7097e44","swing","test_conc","concrete-positive","Concrete","VC","abstract",0,1728921193961,"abstract",2709,7.9043348420851
"56","638f6f1ebb540eedd7097e44","zing","test_conc","abstract-positive","Concrete","VC","concrete",0,1728921196027,"concrete",2490.5,7.82023877251334
"57","638f6f1ebb540eedd7097e44","admired","test_conc","abstract-positive","Concrete","VC","concrete",0,1728921197678,"concrete",1538.5,7.3385631947621
"58","638f6f1ebb540eedd7097e44","laugh","test_conc","concrete-positive","Concrete","VC","concrete",1,1728921200429,"concrete",2336,7.75619534394812
"59","638f6f1ebb540eedd7097e44","sleep","test_conc","concrete-positive","Concrete","VC","concrete",1,1728921203673,"concrete",2791,7.93415523353632
"60","638f6f1ebb540eedd7097e44","spit","test_conc","concrete-negative","Concrete","VC","abstract",0,1728921205628,"abstract",2514,7.82963038915019
"61","638f6f1ebb540eedd7097e44","excite","test_conc","abstract-positive","Concrete","VC","concrete",0,1728921207158,"concrete",1781,7.48493028328966
"62","638f6f1ebb540eedd7097e44","hope","test_conc","abstract-positive","Concrete","VC","concrete",0,1728921209359,"concrete",1894.5,7.54671023045866
"63","638f6f1ebb540eedd7097e44","imagine","test_conc","abstract-positive","Concrete","VC","concrete",0,1728921210889,"concrete",1657,7.41276401742656
"64","638f6f1ebb540eedd7097e44","carjack","test_conc","concrete-negative","Concrete","VC","concrete",1,1728921213082,"concrete",2070.5,7.63554540298562
"65","638f6f1ebb540eedd7097e44","kiss","test_conc","concrete-positive","Concrete","VC","abstract",0,1728921215099,"abstract",1985,7.59337419312129
"66","638f6f1ebb540eedd7097e44","disown","test_conc","abstract-negative","Concrete","VC","concrete",0,1728921216698,"concrete",1805.5,7.49859284071751
"67","638f6f1ebb540eedd7097e44","eat","test_conc","concrete-positive","Concrete","VC","concrete",1,1728921221577,"concrete",3226.5,8.07915323737589
"68","638f6f1ebb540eedd7097e44","inspire","test_conc","abstract-positive","Concrete","VC","concrete",0,1728921223051,"concrete",2392.5,7.78009412332711
